symbol,1,2,3,4,5,6,7,8,9,10,11,12
NIFTY 50,-1.1071138571017565,-0.901028114738241,1.6039287473181914,2.583971688038815,2.5436297995085213,3.6439507302432173,-0.4128828412541326,1.183422349321872,1.5012693784441995,-1.8177231723123948,3.1481847315721674,-0.10375734236350113
NIFTY AUTO,3.4318561731800514,-3.027978345699793,0.8521466783100432,6.024089111971794,6.581636896855382,3.8564932184230813,0.3951880718633394,4.965262706152673,3.280679178941807,-4.303013803481844,4.317228611855328,0.6729193338201952
NIFTY BANK,-3.550398520495364,0.4239614618697966,2.0431535216990557,5.068475556059419,2.6873781650048687,2.6816075020378753,-2.195026384976225,-0.8557116049786188,2.2993878270913517,-0.6445254190060182,3.677923397049391,-0.20456518624272593
NIFTY CHEMICALS,,,,,,,,,,,,
NIFTY COMMODITIES,-1.4158194132025166,0.22384772015748103,3.8928327783414187,2.669924200996469,2.9777737347579305,2.4831219886016256,0.19541586073380524,1.6074509567096698,2.726966778474697,-2.645756626744944,2.0395708939573507,-0.16492772922332635
NIFTY CONSUMPTION,-0.5163307507320488,-3.310085094428509,2.359501373600518,4.514870813447451,3.245394913756657,4.057110015497334,1.132260977123145,2.598421691882454,2.4648383884144476,-2.8224039210461496,2.9419435926807473,-0.007857842339290913
NIFTY ENERGY,-2.094545101363025,-0.20169588244409375,3.3127037111797613,2.6933673759745793,4.126939816009408,1.05463225422473,1.800856996479986,-0.11423921641425805,2.224853609847418,-2.929504803853115,1.8066888325231545,-0.12158745708440044
NIFTY FMCG,0.4897880759672309,-4.674929561207353,1.7717157749530645,4.07109072808558,1.553073651661607,2.1166597837091667,3.2601865169542665,0.19167160322511867,0.646071986937761,-2.4875761734737343,0.5836084950499846,0.47770730170622056
NIFTY HEALTHCARE,-0.33858242444371517,-2.628109955715955,3.7434890955715097,2.535498059516058,0.2027839057808789,5.450500616129321,5.556700874907199,1.1890281156553477,1.942262922119024,-0.4452902853706438,2.944862543736134,0.6747489646233431
NIFTY INFRA,0.185625144193017,0.7680298872409583,3.2748737760295703,3.4492028059961655,3.9578487580147113,3.2866714520173868,0.44222683502909516,0.518430168297653,2.23030570665943,-1.318718267893363,3.725959083375615,-0.17275290118534326
NIFTY IT,2.2722688348694433,-3.8189570572032907,-4.38336205913262,-3.621956098294691,2.1245897514841037,6.378331033606447,-1.2193312458302945,6.93556813386184,-2.141475549993895,-1.1689512730623501,6.037175945068429,0.865683429474954
NIFTY MEDIA,-10.434135221879133,-8.622692869826473,-0.48414627404791766,0.10167681433421727,7.869713860187645,1.7818450393806102,3.124507594055126,5.191168193844808,-0.5634918633921441,-3.2478192849072713,-0.19955782340734066,-4.7510177122176716
NIFTY METAL,-6.120023921555025,0.9832254545331875,2.9040657377093537,2.5927139933235512,6.17756384705402,2.604488599441912,-1.6005973664589443,2.8192172157502475,5.546847310453877,-2.920239098260202,1.7058168953445587,1.5416546500735873
NIFTY OIL AND GAS,-0.6567277792989193,0.0008118526891234268,1.7184100214215867,4.896450913532169,1.6432427809066545,2.304329949249473,1.0782839056165985,0.483232694606391,0.5876384808496541,-3.108152130704781,3.66988249619941,1.4706629341773987
NIFTY PHARMA,-0.5883449450033714,-2.149443340609943,3.27834360611113,2.5067303280581785,-0.3258354243562171,4.3353501592364205,6.626977989300424,1.7392276184202322,1.2471688057578738,-0.6635993000050688,3.1051879928951975,0.9388482331899409
NIFTY PVT BANK,-3.489614901080422,0.091343199065456,1.8519469099944175,4.494993880577828,2.4206592912293434,3.094260012300435,-2.530885953177701,-0.1782529915389038,2.3678377548938276,-1.6943479163336495,3.296994346451136,-0.1636753885368399
NIFTY REALTY,-0.9744446378728474,-2.3243530288438063,0.690659691049548,7.786647947678605,9.766611381153837,3.2948266868594533,-3.0831541493665036,0.9897978539055016,1.9343702289902565,4.03823353768028,4.598917630254895,-1.2098208279260003
