symbol,date,open,high,low,close
COFORGE,2022-12-31,853.0,853.0,740.5,777.0
COFORGE,2023-01-31,780.5,902.5,758.0,861.5
COFORGE,2023-02-28,863.0,895.0,800.0,851.5
COFORGE,2023-03-31,857.0,873.0,713.0,763.0
COFORGE,2023-04-30,770.0,844.0,750.5,837.0
COFORGE,2023-05-31,838.0,930.0,811.0,918.0
COFORGE,2023-06-30,927.0,951.0,867.5,942.5
COFORGE,2023-07-31,948.0,1011.0,914.0,977.5
COFORGE,2023-08-31,983.0,1101.5,940.5,1090.5
COFORGE,2023-09-30,1092.0,1152.5,1010.0,1021.0
COFORGE,2023-10-31,1017.0,1056.5,951.5,1016.5
COFORGE,2023-11-30,1026.0,1169.0,1006.5,1143.0
COFORGE,2023-12-31,1159.0,1306.0,1101.0,1255.0
COFORGE,2024-01-31,1258.0,1358.0,1168.5,1285.0
COFORGE,2024-02-29,1296.0,1369.5,1270.0,1301.0
COFORGE,2024-03-31,1305.0,1307.5,1092.5,1100.5
COFORGE,2024-04-30,1110.0,1180.0,892.0,896.5
COFORGE,2024-05-31,908.0,1062.5,857.5,994.0
COFORGE,2024-06-30,1021.0,1109.5,944.5,1092.0
COFORGE,2024-07-31,1091.0,1285.0,1085.0,1216.0
COFORGE,2024-08-31,1160.0,1277.5,1150.0,1269.0
COFORGE,2024-09-30,1269.0,1449.5,1244.5,1425.0
COFORGE,2024-10-31,1439.0,1579.0,1342.0,1510.5
COFORGE,2024-11-30,1513.0,1749.0,1494.0,1737.0
COFORGE,2024-12-31,1737.0,2005.5,1719.0,1934.0
COFORGE,2025-01-31,1934.0,1955.5,1602.0,1615.5
COFORGE,2025-02-28,1595.0,1725.0,1419.5,1472.5
COFORGE,2025-03-31,1472.5,1650.0,1428.5,1622.0
COFORGE,2025-04-30,1614.0,1614.0,1194.0,1476.5
COFORGE,2025-05-31,1484.0,1740.0,1467.0,1710.0
COFORGE,2025-06-30,1710.0,1961.3,1690.5,1950.6
COFORGE,2025-07-31,1950.6,1994.0,1653.5,1706.3
COFORGE,2025-08-31,1705.0,1797.5,1584.3,1724.3
COFORGE,2025-09-30,1730.0,1830.0,1525.0,1613.1
COFORGE,2025-10-31,1614.9,1866.6,1598.1,1778.1
COFORGE,2025-11-30,1778.0,1932.4,1715.0,1908.7
COFORGE,2025-12-31,1919.0,1988.2,1895.1,1973.0
HCLTECH,2022-12-31,1133.25,1141.95,1011.5,1039.3
HCLTECH,2023-01-31,1039.1,1156.65,1025.25,1146.15
HCLTECH,2023-02-28,1135.2,1153.0,1068.1,1119.0
HCLTECH,2023-03-31,1129.0,1148.0,1039.35,1085.25
HCLTECH,2023-04-30,1089.95,1113.0,1016.25,1064.1
HCLTECH,2023-05-31,1064.1,1155.15,1048.3,1137.05
HCLTECH,2023-06-30,1144.0,1194.0,1105.95,1187.95
HCLTECH,2023-07-31,1190.0,1202.6,1087.05,1144.35
HCLTECH,2023-08-31,1154.55,1195.0,1125.0,1185.8
HCLTECH,2023-09-30,1186.0,1311.3,1185.0,1234.8
HCLTECH,2023-10-31,1232.5,1287.3,1208.55,1266.25
HCLTECH,2023-11-30,1276.25,1349.0,1250.65,1336.7
HCLTECH,2023-12-31,1350.0,1509.9,1308.3,1466.1
HCLTECH,2024-01-31,1460.0,1619.6,1417.15,1583.75
HCLTECH,2024-02-29,1584.95,1697.35,1551.45,1646.3
HCLTECH,2024-03-31,1649.0,1683.0,1508.2,1543.55
HCLTECH,2024-04-30,1549.0,1569.0,1333.55,1348.05
HCLTECH,2024-05-31,1358.0,1366.6,1301.65,1324.1
HCLTECH,2024-06-30,1350.55,1481.95,1235.0,1459.6
HCLTECH,2024-07-31,1465.0,1655.5,1455.0,1609.3
HCLTECH,2024-08-31,1575.0,1766.3,1537.0,1753.25
HCLTECH,2024-09-30,1764.2,1828.55,1721.4,1776.6
HCLTECH,2024-10-31,1784.95,1888.5,1743.0,1757.4
HCLTECH,2024-11-30,1763.0,1919.95,1745.0,1848.05
HCLTECH,2024-12-31,1848.05,1992.1,1835.45,1946.65
HCLTECH,2025-01-31,1951.25,2012.2,1688.0,1694.0
HCLTECH,2025-02-28,1665.0,1749.0,1562.45,1575.05
HCLTECH,2025-03-31,1575.05,1658.95,1507.1,1592.5
HCLTECH,2025-04-30,1577.0,1618.0,1302.75,1576.5
HCLTECH,2025-05-31,1580.0,1702.6,1545.0,1636.6
HCLTECH,2025-06-30,1625.1,1752.5,1605.7,1725.9
HCLTECH,2025-07-31,1725.5,1725.5,1450.0,1452.1
HCLTECH,2025-08-31,1452.1,1531.0,1439.2,1454.8
HCLTECH,2025-09-30,1446.0,1502.9,1380.4,1393.5
HCLTECH,2025-10-31,1393.5,1559.9,1390.8,1541.5
HCLTECH,2025-11-30,1540.1,1669.5,1490.5,1624.2
HCLTECH,2025-12-31,1630.0,1691.0,1624.0,1681.0
INFY,2022-12-31,1638.0,1644.85,1482.45,1508.2
INFY,2023-01-31,1514.0,1604.65,1446.5,1599.4
INFY,2023-02-28,1598.0,1619.75,1467.3,1479.3
INFY,2023-03-31,1494.55,1520.4,1364.55,1427.95
INFY,2023-04-30,1435.0,1435.0,1185.3,1252.75
INFY,2023-05-31,1254.55,1332.7,1239.05,1299.0
INFY,2023-06-30,1304.0,1338.9,1262.25,1335.5
INFY,2023-07-31,1330.0,1498.8,1305.0,1378.35
INFY,2023-08-31,1387.9,1446.0,1365.6,1443.85
INFY,2023-09-30,1443.0,1518.4,1416.0,1435.45
INFY,2023-10-31,1436.05,1518.25,1351.65,1389.05
INFY,2023-11-30,1393.9,1467.9,1361.0,1452.3
INFY,2023-12-31,1460.45,1593.0,1433.15,1542.9
INFY,2024-01-31,1539.0,1718.5,1486.6,1693.35
INFY,2024-02-29,1694.75,1733.0,1635.5,1656.3
INFY,2024-03-31,1657.85,1664.45,1481.55,1498.05
INFY,2024-04-30,1525.0,1529.95,1378.75,1416.3
INFY,2024-05-31,1420.0,1479.6,1400.0,1406.9
INFY,2024-06-30,1440.0,1588.5,1358.35,1566.75
INFY,2024-07-31,1559.5,1903.0,1559.5,1821.2
INFY,2024-08-31,1784.95,1951.0,1718.55,1943.7
INFY,2024-09-30,1943.35,1975.75,1867.4,1918.15
INFY,2024-10-31,1923.2,1991.45,1746.5,1760.85
INFY,2024-11-30,1724.5,1941.4,1718.0,1857.85
INFY,2024-12-31,1859.0,2006.45,1835.2,1938.75
INFY,2025-01-31,1952.0,1982.8,1793.05,1851.35
INFY,2025-02-28,1836.0,1924.0,1682.45,1687.7
INFY,2025-03-31,1692.3,1732.95,1545.15,1570.65
INFY,2025-04-30,1539.25,1555.65,1307.0,1506.8
INFY,2025-05-31,1515.0,1632.0,1494.1,1562.7
INFY,2025-06-30,1560.0,1649.0,1535.6,1640.7
INFY,2025-07-31,1640.0,1646.2,1465.5,1469.6
INFY,2025-08-31,1461.5,1539.0,1414.0,1469.6
INFY,2025-09-30,1476.7,1555.0,1427.4,1446.6
INFY,2025-10-31,1446.6,1546.0,1434.0,1482.3
INFY,2025-11-30,1482.3,1585.0,1449.1,1560.1
INFY,2025-12-31,1562.5,1631.8,1554.1,1613.9
LTIM,2022-12-31,5080.0,5107.75,4225.0,4365.4
LTIM,2023-01-31,4365.4,4640.0,4121.0,4502.2
LTIM,2023-02-28,4490.0,4975.05,4440.25,4710.35
LTIM,2023-03-31,4760.95,4845.0,4480.0,4759.65
LTIM,2023-04-30,4760.0,4848.0,4132.2,4419.45
LTIM,2023-05-31,4430.95,5054.7,4424.05,4994.15
LTIM,2023-06-30,5010.0,5230.0,4776.1,5197.2
LTIM,2023-07-31,5226.0,5430.0,4776.2,4940.9
LTIM,2023-08-31,4956.0,5314.0,4930.85,5303.35
LTIM,2023-09-30,5315.05,5593.4,5128.0,5209.85
LTIM,2023-10-31,5195.0,5513.0,4989.05,5134.95
LTIM,2023-11-30,5174.0,5637.65,5115.0,5577.05
LTIM,2023-12-31,5610.0,6356.0,5454.0,6294.95
LTIM,2024-01-31,6308.8,6442.0,5310.3,5485.85
LTIM,2024-02-29,5540.0,5594.95,5257.0,5294.9
LTIM,2024-03-31,5300.0,5319.85,4908.05,4938.4
LTIM,2024-04-30,4955.0,4979.75,4591.5,4651.95
LTIM,2024-05-31,4675.0,4933.45,4565.5,4701.9
LTIM,2024-06-30,4825.0,5450.0,4513.55,5385.05
LTIM,2024-07-31,5372.45,5879.15,5320.35,5509.9
LTIM,2024-08-31,5258.0,6198.9,5257.05,6156.05
LTIM,2024-09-30,6102.0,6574.95,5989.75,6114.1
LTIM,2024-10-31,6169.9,6551.7,5621.2,5731.6
LTIM,2024-11-30,5700.0,6301.55,5572.65,6172.4
LTIM,2024-12-31,6172.4,6767.95,5510.0,5733.4
LTIM,2025-01-31,5843.95,6157.95,5610.0,5906.3
LTIM,2025-02-28,5850.0,6096.95,4650.45,4665.95
LTIM,2025-03-31,4667.9,4853.65,4239.0,4491.35
LTIM,2025-04-30,4474.6,4715.0,3802.0,4579.9
LTIM,2025-05-31,4599.9,5276.8,4478.8,5068.9
LTIM,2025-06-30,5056.0,5554.5,5001.0,5316.0
LTIM,2025-07-31,5317.0,5414.5,5006.0,5017.5
LTIM,2025-08-31,5014.5,5350.0,4939.5,5133.5
LTIM,2025-09-30,5121.0,5619.0,5010.0,5120.0
