symbol,instrument_token,date,open,high,low,close
INFY,408065,2022-12-05 00:00:00+05:30,1638.0,1644.85,1561.1,1569.3
INFY,408065,2022-12-12 00:00:00+05:30,1550.0,1588.5,1512.05,1522.2
INFY,408065,2022-12-19 00:00:00+05:30,1507.95,1529.95,1482.45,1497.1
INFY,408065,2022-12-26 00:00:00+05:30,1500.5,1530.4,1496.35,1508.2
INFY,408065,2023-01-02 00:00:00+05:30,1514.0,1532.65,1446.5,1448.5
INFY,408065,2023-01-09 00:00:00+05:30,1448.2,1519.4,1448.2,1503.65
INFY,408065,2023-01-16 00:00:00+05:30,1510.0,1551.85,1502.3,1525.55
INFY,408065,2023-01-23 00:00:00+05:30,1535.0,1568.8,1507.4,1519.15
INFY,408065,2023-01-30 00:00:00+05:30,1528.8,1604.65,1513.0,1599.4
INFY,408065,2023-02-06 00:00:00+05:30,1598.0,1619.75,1555.1,1608.55
INFY,408065,2023-02-13 00:00:00+05:30,1597.0,1614.45,1566.0,1583.8
INFY,408065,2023-02-20 00:00:00+05:30,1584.95,1603.0,1545.0,1550.65
INFY,408065,2023-02-27 00:00:00+05:30,1540.0,1540.0,1467.3,1479.3
INFY,408065,2023-03-06 00:00:00+05:30,1494.55,1520.4,1457.65,1471.55
INFY,408065,2023-03-13 00:00:00+05:30,1464.2,1478.3,1398.7,1420.7
INFY,408065,2023-03-20 00:00:00+05:30,1419.7,1419.7,1370.0,1380.65
INFY,408065,2023-03-27 00:00:00+05:30,1386.25,1429.95,1364.55,1427.95
INFY,408065,2023-04-03 00:00:00+05:30,1435.0,1435.0,1400.0,1421.9
INFY,408065,2023-04-10 00:00:00+05:30,1423.95,1434.0,1383.0,1389.2
INFY,408065,2023-04-17 00:00:00+05:30,1250.3,1269.95,1185.3,1227.35
INFY,408065,2023-04-24 00:00:00+05:30,1228.0,1259.0,1215.0,1252.75
INFY,408065,2023-05-02 00:00:00+05:30,1254.55,1279.75,1254.25,1259.1
INFY,408065,2023-05-08 00:00:00+05:30,1262.45,1276.4,1239.05,1245.2
INFY,408065,2023-05-15 00:00:00+05:30,1249.9,1273.95,1242.45,1268.9
INFY,408065,2023-05-22 00:00:00+05:30,1272.95,1323.45,1270.25,1317.45
INFY,408065,2023-05-29 00:00:00+05:30,1332.7,1332.7,1296.05,1299.0
INFY,408065,2023-06-05 00:00:00+05:30,1304.0,1309.45,1264.0,1265.95
INFY,408065,2023-06-12 00:00:00+05:30,1273.5,1306.7,1273.0,1291.65
INFY,408065,2023-06-19 00:00:00+05:30,1294.0,1305.0,1263.35,1265.0
INFY,408065,2023-06-26 00:00:00+05:30,1270.25,1338.9,1262.25,1335.5
INFY,408065,2023-07-03 00:00:00+05:30,1330.0,1357.95,1325.35,1330.2
INFY,408065,2023-07-10 00:00:00+05:30,1336.55,1430.0,1319.3,1425.95
INFY,408065,2023-07-17 00:00:00+05:30,1425.95,1498.8,1305.0,1331.6
INFY,408065,2023-07-24 00:00:00+05:30,1341.0,1363.85,1324.25,1340.5
INFY,408065,2023-07-31 00:00:00+05:30,1348.75,1385.9,1333.25,1378.35
INFY,408065,2023-08-07 00:00:00+05:30,1387.9,1396.85,1367.05,1371.85
INFY,408065,2023-08-14 00:00:00+05:30,1371.85,1420.0,1365.6,1388.8
INFY,408065,2023-08-21 00:00:00+05:30,1389.75,1425.05,1387.15,1420.1
INFY,408065,2023-08-28 00:00:00+05:30,1420.1,1446.0,1411.4,1443.85
INFY,408065,2023-09-04 00:00:00+05:30,1443.0,1482.9,1434.7,1469.6
INFY,408065,2023-09-11 00:00:00+05:30,1469.6,1518.4,1464.5,1511.6
INFY,408065,2023-09-18 00:00:00+05:30,1504.9,1506.95,1476.0,1496.15
INFY,408065,2023-09-25 00:00:00+05:30,1489.85,1489.85,1416.0,1435.45
INFY,408065,2023-10-03 00:00:00+05:30,1436.05,1484.5,1418.2,1478.7
INFY,408065,2023-10-09 00:00:00+05:30,1464.9,1518.25,1400.0,1431.15
INFY,408065,2023-10-16 00:00:00+05:30,1432.1,1454.0,1425.25,1427.25
INFY,408065,2023-10-23 00:00:00+05:30,1425.6,1432.35,1353.1,1380.35
INFY,408065,2023-10-30 00:00:00+05:30,1380.35,1392.0,1351.65,1389.05
INFY,408065,2023-11-06 00:00:00+05:30,1393.9,1407.25,1361.0,1388.2
INFY,408065,2023-11-13 00:00:00+05:30,1379.85,1453.4,1370.85,1437.55
INFY,408065,2023-11-20 00:00:00+05:30,1442.0,1467.9,1433.65,1437.4
INFY,408065,2023-11-28 00:00:00+05:30,1444.0,1460.7,1427.05,1452.3
INFY,408065,2023-12-04 00:00:00+05:30,1460.45,1494.7,1442.0,1491.15
INFY,408065,2023-12-11 00:00:00+05:30,1490.0,1588.55,1433.15,1578.4
INFY,408065,2023-12-18 00:00:00+05:30,1567.95,1593.0,1521.25,1562.9
INFY,408065,2023-12-26 00:00:00+05:30,1535.0,1570.0,1523.0,1542.9
