tradingsymbol,instrument_token
NIFTY 50,256265
NIFTY BANK,260105
NIFTY COMMODITIES,257289
NIFTY CONSUMPTION,257545
NIFTY IT,259849
NIFTY REALTY,261129
NIFTY INFRA,261385
NIFTY ENERGY,261641
NIFTY FMCG,261897
NIFTY PHARMA,262409
NIFTY AUTO,263433
NIFTY METAL,263689
NIFTY MEDIA,263945
NIFTY PVT BANK,271113
NIFTY HEALTHCARE,288521
NIFTY OIL AND GAS,289033
NIFTY CHEMICALS,420105
